Key,Party,Handle,Tweet,Sentiment,Category
1,Democrat,RepDarrenSoto,.@realDonaldTrump official policy to separate immigrant children from their mothers is definition of cruelty… https://t.co/jCrURA4oLz,0.0,Immigration
2,Democrat,RepDarrenSoto,Joined colleagues in opposition to Trump admin adding citizenship question to #2020Census. An accurate count is cri… https://t.co/bVMg5XScLL,0.0,Immigration
3,Democrat,RepDarrenSoto,RT @WaelAlzayat: Thank you @RepDarrenSoto for being a good friend and an avid supporter of immigrant rights. #EmgagetheHill #EmgageAction h…,0.8979,Immigration
4,Democrat,RepDarrenSoto,Thanks to Sheriff Russell Gibson &amp; @OsceolaSheriff Office for hosting gun return event! That’s 39 unwanted guns off… https://t.co/HGZiQVjniH,-0.1759,GunControl
5,Democrat,RepDarrenSoto,Florida faced yet another dreadful school shooting in Ocala today. On a day students partake in… https://t.co/AMy9VkKP1h,-0.4404,GunControl
6,Democrat,RepDarrenSoto,"Intrigued to host @MikeBloomberg re gun safety, jobs &amp; bipartisanship in Washington today! @bpolitics @HouseNewDems… https://t.co/m67OeS3tWk",0.1759,GunControl
7,Democrat,RepDarrenSoto,We oppose adding citizenship question on the #2020Census! This could suppress participation of Florida’s 2mil immig… https://t.co/Y4gThybrAB,0.0,Immigration
8,Democrat,RepDarrenSoto,Read about our passionate town hall on gun safety. Thanks to everyone who attended! @OsceolaNews @HouseNewDems… https://t.co/PktIaxPMGq,0.7901,GunControl
9,Democrat,RepDarrenSoto,RT @adrienneegolf: Thank you @RepDarrenSoto for holding a town hall today about gun safety and for inviting @MomsDemand to speak about comm…,0.6369,GunControl
10,Democrat,RepDarrenSoto,RT @rvivian370: @RepDarrenSoto Gun Safety Town Hall in St. Cloud. @PBCDHC @RepDarrenSoto @YourBarrioFL @FDPMoneygirl @Liana_Guerra @hrc_orl…,0.1027,GunControl
11,Democrat,RepDarrenSoto,RT @YourBarrioFL: At our packed Gun Safety Town Hall in St. Cloud with @repdarrensoto. #MomsDemand #gunsense… https://t.co/fIf8R6n7Gj,0.1027,GunControl
12,Democrat,RepJackyRosen,"Great to meet with @AAAJ_AAJC today! Nevada’s #AAPI immigrant families make our community stronger, and I'm proud t… https://t.co/7DjyYsRKeq",0.8777,Immigration
13,Democrat,RepAlLawsonJr,Including a citizenship question in the #2020Census only serves to suppress participation &amp; will result in inaccura… https://t.co/2uEpfHVoiB,0.0,Immigration
14,Democrat,RepAlLawsonJr,In proud of of our youth today who are rallying against gun violence.  You are that generation that Nelson Mandela… https://t.co/Q2a4tEGxvE,-0.5267,GunControl
15,Democrat,RepAlLawsonJr,Proud to stand in solidarity with the students today to say #NeverAgain. Gun violence should not be tolerated and s… https://t.co/68drA9hpRA,-0.296,GunControl
16,Democrat,RepAlLawsonJr,Proud to stand with America’s students. Your voice is making a difference in the fight for action to prevent gun vi… https://t.co/en6cAxJfUS,-0.2023,GunControl
17,Democrat,RepAlLawsonJr,"RT @HouseDemocrats: 7,000 children have lost their lives to gun violence since Sandy Hook. How many more must we lose before Congress takes…",-0.8948,GunControl
18,Democrat,RepAlLawsonJr,It shouldn’t take another 17 deaths for Congress to finally take action to prevent gun violence. I’m calling on… https://t.co/uQ6zoQE7EB,-0.7506,GunControl
19,Democrat,RepAlLawsonJr,"Tonight, the nation will hear from #StonemanDouglas shooting survivors. It’s time for Congress to show as much cour… https://t.co/HzyCQW8UF5",0.0,GunControl
20,Democrat,RepAlLawsonJr,Last week’s tragedy in #Parkland was the second-deadliest shooting at a public school in U.S. history… https://t.co/sPuw2ouQh1,-0.6597,GunControl
21,Democrat,RepAlLawsonJr,“My heart breaks for the teachers &amp; students following today’s mass shooting in #ParklandFL. Our children go to sch… https://t.co/U9SOwZ9OK4,0.0,GunControl
22,Democrat,RepEspaillat,"A1 Yes, immigration is a women’s rights issue. For women seeking asylum or without legal status, already complicate… https://t.co/cYvu5MDpqF",0.3248,Immigration
23,Democrat,RepEspaillat,I find Facebook's new ad structure deeply concerning as it bans undocumented immigrants from buying ads and letting… https://t.co/Q71oCEXNOe,0.0,Immigration
24,Democrat,RepEspaillat,"Seeking asylum is not illegal, in fact, it is written into US immigration laws to ensure that those w/a credible fe… https://t.co/DEExlsiSat",0.673,Immigration
25,Democrat,RepEspaillat,"As early as the spring of 2017, the #Trump Administration has considered separating children from immigrant parents… https://t.co/TPcs9yGvhO",0.0,Immigration
26,Democrat,RepEspaillat,Expanding the definition of “public charge” to discriminate &amp; hurt immigrant families runs counter to American idea… https://t.co/zwUB5qYquV,-0.5267,Immigration
27,Democrat,RepEspaillat,There is only one common thread across the gun violence epidemic in America – guns. Attempting to address this prob… https://t.co/TX1U8qyoUP,-0.7579,GunControl
28,Democrat,RepEspaillat,"Americans want action to #EndGunViolence. In fact, 97% of gun owners want to see Congress require background checks… https://t.co/6gUhM0lKmf",-0.2023,GunControl
29,Democrat,RepEspaillat,"RT @pauavil: ""The moment is long overdue for El Salvador, the Dominican Republic and nations around the world to end their total abortion b…",0.0,Abortion
30,Democrat,RepEspaillat,"RT @ppglobe: @RepEspaillat Whether abortion criminalization in LAC or the #globalgagrule, the impact is the same: women suffer and women di…",-0.5423,Abortion
31,Democrat,RepEspaillat,"Yet, the #Starbucks incident, alongside mass incarceration and police brutality, shares a common thread with that o… https://t.co/R3clxpwxRN",-0.4215,Incarceration
32,Democrat,RepEspaillat,"If Trump’s changes to the “public charge” rule are enacted, parents will be forced to choose between citizenship &amp;… https://t.co/340oZHxYR4",-0.4588,Immigration
33,Democrat,RepEspaillat,Expanding the definition of “public charge” to discriminate &amp; hurt immigrant families runs counter to American idea… https://t.co/bP2hhf4q0W,-0.5267,Immigration
34,Democrat,RepEspaillat,RT @NULpolicy: For people in the black community it is crucial to understand that approximately 15% of the undocumented community in the Un…,0.0,Immigration
35,Democrat,RepBRochester,"Delaware's students are taking a stand against gun violence by walking out and saying, ""enough is enough.""… https://t.co/nDuQ9VPRkp",-0.7579,GunControl
36,Democrat,RepBRochester,"Today, 7K pairs of shoes were laid at the Capitol to represent the 7K children killed due to gun violence since San… https://t.co/LGd2Xf07FM",-0.9001,GunControl
