Id,Party,Handle,Tweet,Sentiment,Category,Length
1,Democrat,RepDarrenSoto,RT @WaelAlzayat: Thank you @RepDarrenSoto for being a good friend and an avid supporter of immigrant rights. #EmgagetheHill #EmgageAction h…,0.8979,Immigration,140
2,Democrat,RepDarrenSoto,Thanks to Sheriff Russell Gibson &amp; @OsceolaSheriff Office for hosting gun return event! That’s 39 unwanted guns off… https://t.co/HGZiQVjniH,-0.1759,GunControl,144
3,Democrat,RepDarrenSoto,Florida faced yet another dreadful school shooting in Ocala today. On a day students partake in… https://t.co/AMy9VkKP1h,-0.4404,GunControl,120
4,Democrat,RepDarrenSoto,"Intrigued to host @MikeBloomberg re gun safety, jobs &amp; bipartisanship in Washington today! @bpolitics @HouseNewDems… https://t.co/m67OeS3tWk",0.1759,GunControl,144
5,Democrat,RepDarrenSoto,Read about our passionate town hall on gun safety. Thanks to everyone who attended! @OsceolaNews @HouseNewDems… https://t.co/PktIaxPMGq,0.7901,GunControl,135
6,Democrat,RepDarrenSoto,RT @adrienneegolf: Thank you @RepDarrenSoto for holding a town hall today about gun safety and for inviting @MomsDemand to speak about comm…,0.6369,GunControl,140
7,Democrat,RepDarrenSoto,RT @rvivian370: @RepDarrenSoto Gun Safety Town Hall in St. Cloud. @PBCDHC @RepDarrenSoto @YourBarrioFL @FDPMoneygirl @Liana_Guerra @hrc_orl…,0.1027,GunControl,140
8,Democrat,RepDarrenSoto,RT @YourBarrioFL: At our packed Gun Safety Town Hall in St. Cloud with @repdarrensoto. #MomsDemand #gunsense… https://t.co/fIf8R6n7Gj,0.1027,GunControl,133
9,Democrat,RepJackyRosen,"Great to meet with @AAAJ_AAJC today! Nevada’s #AAPI immigrant families make our community stronger, and I'm proud t… https://t.co/7DjyYsRKeq",0.8777,Immigration,140
10,Democrat,RepAlLawsonJr,In proud of of our youth today who are rallying against gun violence.  You are that generation that Nelson Mandela… https://t.co/Q2a4tEGxvE,-0.5267,GunControl,139
11,Democrat,RepAlLawsonJr,Proud to stand in solidarity with the students today to say #NeverAgain. Gun violence should not be tolerated and s… https://t.co/68drA9hpRA,-0.296,GunControl,140
12,Democrat,RepAlLawsonJr,Proud to stand with America’s students. Your voice is making a difference in the fight for action to prevent gun vi… https://t.co/en6cAxJfUS,-0.2023,GunControl,140
13,Democrat,RepAlLawsonJr,"RT @HouseDemocrats: 7,000 children have lost their lives to gun violence since Sandy Hook. How many more must we lose before Congress takes…",-0.8948,GunControl,140
14,Democrat,RepAlLawsonJr,It shouldn’t take another 17 deaths for Congress to finally take action to prevent gun violence. I’m calling on… https://t.co/uQ6zoQE7EB,-0.7506,GunControl,136
15,Democrat,RepAlLawsonJr,Last week’s tragedy in #Parkland was the second-deadliest shooting at a public school in U.S. history… https://t.co/sPuw2ouQh1,-0.6597,GunControl,126
16,Democrat,RepEspaillat,"A1 Yes, immigration is a women’s rights issue. For women seeking asylum or without legal status, already complicate… https://t.co/cYvu5MDpqF",0.3248,Immigration,140
17,Democrat,RepEspaillat,"Seeking asylum is not illegal, in fact, it is written into US immigration laws to ensure that those w/a credible fe… https://t.co/DEExlsiSat",0.673,Immigration,140
18,Democrat,RepEspaillat,Expanding the definition of “public charge” to discriminate &amp; hurt immigrant families runs counter to American idea… https://t.co/zwUB5qYquV,-0.5267,Immigration,144
19,Democrat,RepEspaillat,There is only one common thread across the gun violence epidemic in America – guns. Attempting to address this prob… https://t.co/TX1U8qyoUP,-0.7579,GunControl,140
20,Democrat,RepEspaillat,"Americans want action to #EndGunViolence. In fact, 97% of gun owners want to see Congress require background checks… https://t.co/6gUhM0lKmf",-0.2023,GunControl,140
21,Democrat,RepEspaillat,"RT @ppglobe: @RepEspaillat Whether abortion criminalization in LAC or the #globalgagrule, the impact is the same: women suffer and women di…",-0.5423,Abortion,140
22,Democrat,RepEspaillat,"Yet, the #Starbucks incident, alongside mass incarceration and police brutality, shares a common thread with that o… https://t.co/R3clxpwxRN",-0.4215,Incarceration,140
23,Democrat,RepEspaillat,"If Trump’s changes to the “public charge” rule are enacted, parents will be forced to choose between citizenship &amp;… https://t.co/340oZHxYR4",-0.4588,Immigration,143
24,Democrat,RepEspaillat,Expanding the definition of “public charge” to discriminate &amp; hurt immigrant families runs counter to American idea… https://t.co/bP2hhf4q0W,-0.5267,Immigration,144
25,Democrat,RepBRochester,"Delaware's students are taking a stand against gun violence by walking out and saying, ""enough is enough.""… https://t.co/nDuQ9VPRkp",-0.7579,GunControl,131
26,Democrat,RepBRochester,"Today, 7K pairs of shoes were laid at the Capitol to represent the 7K children killed due to gun violence since San… https://t.co/LGd2Xf07FM",-0.9001,GunControl,140
27,Democrat,RepBRochester,We need to do right by our students and our neighborhoods by preventing the next shooting that takes anyone’s life. #HonorWithAction,-0.0258,GunControl,132
28,Democrat,RepBRochester,It shouldn't take another mass shooting for us to deal with this crisis. Students are dying every day in and out of… https://t.co/vmwWFip8Pd,-0.7073,GunControl,140
29,Democrat,RepBRochester,"According to @Everytown, Americans are 25 times more likely to be shot and killed with a gun than people in other d… https://t.co/GS1WWYGThe",-0.7845,GunControl,140
30,Democrat,RepBRochester,Congress should take up the mantle in protecting net neutrality. We need an open internet to promote choice and fai… https://t.co/X3UHlitkGq,0.3818,Abortion,140
31,Democrat,RepBarragan,RT @LASDHQ: Update: 1 suspect being detained regarding the person with a gun the call at Highland High school in Palmdale.  @PalmdaleSherif…,-0.743,GunControl,140
32,Democrat,RepBarragan,RT @RoKhanna: It’s a travesty that black men who commit the same crimes as white men receive federal prison sentences that are nearly 20 pe…,-0.6808,Incarceration,140
33,Democrat,RepTomSuozzi,"As we remember the Columbine shooting 19 years ago today, let's not allow the passion surrounding the gun control i… https://t.co/r9ySOpXlEd",-0.6753,GunControl,140
34,Democrat,RepTomSuozzi,"Met with folks from @GiffordsCourage, which is committed to saving lives from gun violence. They and thousands of o… https://t.co/ch7HZlxqnQ",-0.6597,GunControl,140
35,Democrat,RepTomSuozzi,.@RepPeteKing and I are committed to working with local high school students on gun violence prevention. https://t.co/laIPhOGAvf,-0.6597,GunControl,128
36,Democrat,RepTomSuozzi,"I think we should engage the high school students of #NY03,  and all of Long Island, to promote gun violence preven… https://t.co/mIpm09XeQh",-0.3612,GunControl,140
37,Democrat,RepTomSuozzi,"It's hard to imagine how the President, and the Republicans who are in control of the Senate and the House, cannot… https://t.co/3bz7ssyjuM",-0.1027,GunControl,139
38,Democrat,RepRoKhanna,The gun show loophole allowing for the private sale of firearms without a background check is unacceptable. Congres… https://t.co/NqYXQDOgCC,-0.6597,GunControl,140
39,Democrat,RepRoKhanna,"Poll after poll shows that Americans want common sense gun safety regulations. We should listen to these people, yo… https://t.co/Kr99uYzo58",0.1779,GunControl,140
40,Democrat,RepRoKhanna,Donald Glover’s new music video illustrates the harsh truth of police brutality and gun violence in the United Stat… https://t.co/klcY3fUUpv,-0.8519,GunControl,140
41,Democrat,RepRoKhanna,"Those serious about criminal justice reform should look to the efforts of the Philadelphia, San Francisco, San Dieg… https://t.co/EFKT6pWK5w",-0.0772,Incarceration,140
42,Democrat,RepRoKhanna,Enough is enough. We need common sense gun safety NOW. https://t.co/RvV8X8kbXJ,0.1027,GunControl,78
43,Democrat,RepRoKhanna,South Carolina’s Senate vote to ban abortion is blatantly unconstitutional. Republican lawmakers in the state are a… https://t.co/sxPgn2QBNc,-0.5574,Abortion,140
44,Democrat,RepRoKhanna,RT @SenSanders: TODAY at 2:30 ET: Join a discussion on criminal justice reform live from Philadelphia at https://t.co/TIdQMUk3ML. https://t…,0.296,Incarceration,140
45,Democrat,RepRoKhanna,Thank you to Sunnyvale Presbyterian Church for hosting an important discussion on gun violence with community leade… https://t.co/K7nyn5URfd,-0.4939,GunControl,140
46,Democrat,RepKihuen,"RT @AJentleson: More info on the UNLV Law Clinic if you care to donate on behalf of Senator Reid: 

“The UNLV Immigration Clinic trains stu…",0.4939,Immigration,140
47,Democrat,RepKihuen,After the #1OCT shooting first responders and emergency room nurses helped our city heal. They deserve our support.… https://t.co/Xb7Y8p15zp,-0.3818,GunControl,140
48,Democrat,RepKihuen,Proud to support #HR1227 Ending Federal Marijuana Prohibition Act - which eliminates federal criminal penalties for… https://t.co/HQsMQI3eta,0.34,Incarceration,140
49,Democrat,RepKihuen,Had a substantive discussion today with @UNLV students regarding the gun violence epidemic in our country. I’m prou… https://t.co/EkRQuXMxXx,-0.7579,GunControl,140
50,Democrat,RepKihuen,Every day I get letters from Nevada students begging Congress to act to protect them from gun violence. I read ever… https://t.co/tKq7zAt2gw,-0.5994,GunControl,140
51,Democrat,RepKihuen,"RT @CanCGLA: Thank you, @RepKihuen, for honouring the life of Jordan Mcildoon, 1 of 4 Canadians killed during the October 1st shooting in L…",0.0258,GunControl,140
52,Democrat,RepKihuen,RT @LIT_LV: Founder/ED shared story of LIT students/families to NV delegation today in US Senate/House of Reps &amp; how immigration policy imp…,0.34,Immigration,144
53,Democrat,RepMcEachin,"In the six long months it took to control the spill, 5 million barrels of crude oil was dumped into the Gulf of Mex… https://t.co/4KDvcHgf9o",-0.7506,GunControl,140
54,Democrat,RepCarbajal,TOMORROW: The @SB_Police Department and @sbcoalition will host a Gun Buyback at the Earl Warren Showgrounds from 8a… https://t.co/YrelBW6NrT,-0.34,GunControl,140
55,Democrat,RepCarbajal,Parents &amp; teachers know the best way to keep our kids safe from gun violence is restricting individuals in crisis f… https://t.co/QbyZ7703l0,-0.7269,GunControl,144
56,Democrat,RepCarbajal,Ohio became the latest state to embrace gun violence prevention orders last week. I'm grateful for the continued bi… https://t.co/euwYEtOfN3,-0.296,GunControl,140
57,Democrat,RepCarbajal,Happy to announce the Gun Violence Restraining Order Act has reached 100 bipartisan co-sponsors! The momentum behin… https://t.co/FYPpEfNIEI,-0.4003,GunControl,140
58,Democrat,RepCarbajal,"Last weekend, my 17 year old son and I joined the young people in San Luis Obispo calling for an end to gun violenc… https://t.co/TK2YhWYzFI",-0.34,GunControl,140
59,Democrat,RepCarbajal,Adding a citizenship question to the #2020Census would only decrease participation &amp; waste millions of dollars. We… https://t.co/GYOlktl8NJ,-0.4215,Immigration,143
60,Democrat,RepCarbajal,"The Gun Violence Restraining Order Act is bicameral, bipartisan legislation that temporarily takes firearms away fr… https://t.co/ujH0e6tCUL",-0.7579,GunControl,140
61,Democrat,RepCarbajal,I’m proud to stand with a true gun violence reform champion in the fight for common sense gun violence solutions th… https://t.co/KYSvTBO8hO,-0.6249,GunControl,140
62,Democrat,RepCarbajal,I'm standing with @davidhogg111 &amp; those marching on the Central Coast demanding action on gun violence. Congress mu… https://t.co/OOggrj35mk,-0.8126,GunControl,144
63,Democrat,RepCarbajal,Proud to stand with the @ProsecutorsAGV today to discuss the urgent need for gun reform. We need to protect our chi… https://t.co/9rh9Lx4gWw,0.6249,GunControl,140
64,Democrat,RepCarbajal,"#GVROs are something every state should put in place. My bill, the Gun Violence Restraining Order Act, gives states… https://t.co/MsvXEBLFCx",-0.7579,GunControl,140
65,Democrat,RepCarbajal,"Gun violence restraining orders work in CA, temporarily keeping guns out of the hands of individuals in crisis. In… https://t.co/3NxwR6OMHe",-0.891,GunControl,139
66,Democrat,RepCarbajal,"Today, two different schools on the Central Coast faced lockdowns due to a shooting threat, thankfully everyone is… https://t.co/KTBYUdbqj1",-0.1531,GunControl,139
67,Democrat,RepCarbajal,"RT @KSBY: Safe &amp; Secure: ""I like that,"" says President Trump on local congressman's gun reform bill. @CorralCarina reports:
https://t.co/mQ…",0.6597,GunControl,144
68,Democrat,RepCarbajal,"RT @RepDonBeyer: Our bipartisan bill might have stopped the Parkland shooting.

@RepCarbajal, @RepEsty and I write about the Gun Violence R…",-0.8126,GunControl,140
69,Democrat,RepCarbajal,"RT @RepEsty: Last week at the @WhiteHouse, @realDonaldTrump &amp; @VP told me that they support gun violence restraining orders.

#GVROs work.…",-0.5859,GunControl,143
70,Democrat,RepCarbajal,"When the perpetrator of the #Parkland Shooting displayed warning signs, the legal options for police weren’t enough… https://t.co/8dJE8p3qsx",-0.6249,GunControl,140
