Party,Handle,Tweet,Sentiment
Republican,CongMikeSimpson,Many thanks to the Idaho Association of Nurse Anesthetists-We had a thoughtful discussion this morning regarding th‰Û_ https://t.co/jbOl6EZmwM,0.6705
Democrat,RepMcEachin,RT @LCVoters: .@RepMcEachin: ‰ÛÏIt‰Ûªs time to speak out and submit a comment on coal ash today.‰Ûù  https://t.co/HhLq3FRSo6 https://t.co/V60c0vy‰Û_,0
Democrat,RepCharlieCrist,Our students are calling for common-sense solutions to #EndGunViolence in our schools. Congress MUST act to show th‰Û_ https://t.co/xnsGME3vuh,0.1779
Democrat,RepLouCorrea,It is a sad day in America. @realDonaldTrump will end #DACA.,-0.4767
Republican,SteveKingIA,RT @codycorbett10: Just me and my Jeep making a difference https://t.co/YLoI19xCTi,0
Republican,SteveKingIA,RT @ToadonaWire: RT @euromaestro: ISIS terrorist incident in south of France. Police officer shot. Hostages taken.  #breakingnews with Euro‰Û_,-0.6908
Democrat,RepDarrenSoto,RT @rvivian370: With HRC CFSC at Planet Hollywood. @RepDarrenSoto @YourBarrioFL @hrc_orlando @JoDeelive @izamontalvonews @WatermarkOnline @‰Û_,0
Democrat,RepDarrenSoto,#FACT: 24 percent of Americans said they didn‰Ûªt fill a prescription in the previous year because of the high cost.‰Û_ https://t.co/meU89Ikiqm,0
Republican,NatResources,"Private innovation plus safety improvement means more jobs, lower prices at the pump, less taxpayer money wasted on‰Û_ https://t.co/QkWiCVtpPq",0.4562
Republican,FinancialCmte,RT @RepStevePearce: #HappeningNow: I'm leading the Terrorism and Illicit Finance Subcommittee hearing on combating cyber-attacks to better‰Û_,-0.6808
Democrat,CongressmanRaja,"On this day, holy for so many, let us be joined by our common values https://t.co/iO9FmQuYgW",0.4019
Democrat,RepAlLawsonJr,"If you have a casework problem (VA, postal, USCIS, social security or any other federal issue), staff from my offic‰Û_ https://t.co/C5bJdjil9N",-0.0772
Republican,JudgeTedPoe,RT @CancerAdvocacy: .@cure_magazine highlights the #CCPCact and the importance of #cancer care planning.,0.5423
Democrat,RepDarrenSoto,"Behind every successful student, there's a proud community of family &amp; teachers. Great to meet with @OCPSnews Avalo‰Û_ https://t.co/u3irBAu4cE",0.9001
Republican,HouseCommerce,#SubCommTech discusses telecom supply chain threats and opportunities during hearing today &gt;&gt; https://t.co/i6AbjR9HgM,-0.0516
Democrat,RepCarbajal,One of my top priorities is mitigating the economic impact of Diablo Canyon Nuclear Power Plant‰Ûªs closure. I'm intr‰Û_ https://t.co/lnoN6gQb9O,0.2023
Democrat,RepPeteAguilar,"This country is great because we uphold our values, and Congress has an opportunity to prove that by passing the bi‰Û_ https://t.co/k4eUpTKI4L",0.8625
Democrat,RepStephMurphy,RT @TrinityPrepFL: Jessie White '18 has been selected by US Congresswoman @RepStephMurphy as the winner of the 2018 Congressional Art Compe‰Û_,0.5859
Republican,RepMimiWalters,RT @IvankaTrump: Congratulations @senrobportman @SenBlumenthal @RepAnnWagner &amp; @RepMimiWalters on the passing of the bipartisan #FOSTA-#SES‰Û_,0.5994
Democrat,RepBRochester,"Discrimination, bullying, and harassment do not belong anywhere - let alone schools. The Student Non-Discrimination‰Û_ https://t.co/GzViyXZB91",-0.8555
Republican,Transport,A significant amount of America's agricultural products are exported through our ports. Ensuring the safety of our‰Û_ https://t.co/FsyIncQ8qS,0.6908
Democrat,RepKihuen,"Good luck tonight @GoldenKnights! Just when this city needed a win, you raised our spirits. You‰Ûªve shown the world‰Û_ https://t.co/ZS02oXe1qc",0.8748
Democrat,RepValDemings,"I'm disappointed in Secretary Ben Carson's legislation proposal for ""affordable"" housing. This proposed legislation‰Û_ https://t.co/8RoAUg8DYH",-0.4767
Democrat,RepValDemings,This week Congress will vote on a ‰ÛÏBalanced Budget Amendment‰Ûù which would trigger huge automatic cuts to Social Sec‰Û_ https://t.co/HJ9EamJ3m9,0.0258
Republican,RepMcClintock,The bill before us today contains $24 billion in such unauthorized spending... http://t.co/x7zjDZuxzO  freezing unauthorized spending,-0.1027
Republican,RepBillJohnson,Met w/ executives from PTT Global and their newly announced partner Daelim yesterday to discuss potential Belmont C‰Û_ https://t.co/6OttuDwQQy,0
Republican,DrPhilRoe,"Energy independence will help create American jobs, lower costs for American families and help protect our interest‰Û_ https://t.co/myUxC7DDj9",0.8402
Democrat,DonaldNorcross,".@camdencountynj is celebrating the @Eagles win!#FlyEaglesFly #EaglesParade https://t.co/2QEVaHAjFI",0.8313
Democrat,RepRaskin,"RT @UMDSGA: Thank you @RepRaskin for taking time out of your day to meet with us to discuss DACA, the Campus Accountability and Safety Act,‰Û_",0.6486
Republican,HouseCommerce,"Next week, #SubOversight will hear directly from executives of five drug distributors at the epicenter of the cmte‰Ûª‰Û_ https://t.co/lf6CYW86kS",0
Republican,RulesReps,This morning at 10:30 AM @RepDougCollins will be chairing the Subcommittee Members' Day hearing on Article 1: Effec‰Û_ https://t.co/U4kdtGGwts,0
Republican,NatResources,Our nation‰Ûªs water and power infrastructure are vital to our economy. @RepNewhouse's bill streamlines the @usbr &amp;‰Û_ https://t.co/U4GeAHTZvi,0.296
Democrat,RepStephMurphy,I spoke to @UCF student gun safety advocates at a recent Coffee with Your Congresswoman event. I'm heartened to see‰Û_ https://t.co/qersjyebrZ,0.1027
Republican,CongMikeSimpson,Rep Simpson receives Wellness Frontiers Award from the Health Leadership Council for creating and promoting ID STEP‰Û_ https://t.co/3U17VQlQZi,0.8779
Democrat,RepLouCorrea,#Russia hacked 39 state election systems. More proof my bill is vital to our nation‰Ûªs security. We must develop more offense #cybersecurity,-0.101
Democrat,RepJayapal,Educators take on the great responsibility of empowering and equipping our nation‰Ûªs youth to create and sustain the‰Û_ https://t.co/9TIhl6cHTo,0.7351
Republican,RepBillJohnson,Sat down with @WTOV9 before meeting with new Steubenville mayor earlier today. Lots of topics discussed. https://t.co/mznpAv5dMo,0
Republican,MarioDB,"Hamas continues to incite violence vs #Israel, most recently by crashing the Israeli border in ""demonstrations."" Th‰Û_ https://t.co/SEFvlJmtoI",-0.6249
Democrat,CongressmanRaja,"Yesterday, Rep. @HerreraBeutler and I introduced the bipartisan Ending Maternal Mortality Act to halve rates of mat‰Û_ https://t.co/zFcxntPuRM",0
Democrat,RepBarragan,"ICE needs to be held accountable for miscarriages of justice. We should not become a detention nation, putting the‰Û_ https://t.co/gceAJiph3e",0.6715
Republican,Transport,@RepLouBarletta in @dcexaminer this morning on the importance of predisaster mitigation &amp; the reforms included in t‰Û_ https://t.co/kjgeGReErT,0.3612
Democrat,RepTomSuozzi,"Congratulations to Congregation Tifereth Israel on the occasion of your 120th Anniversary.Hundert un tsvantsik ~ w‰Û_ https://t.co/RWqcm7QSKB",0.5994
Republican,RepBillJohnson,Will be on @FoxBusiness tomorrow at 7am with @MorningsMaria talking about steel and aluminum tariffs and other news of the day.,0
Republican,MarioDB,"In the recently passed funding bill, our work focused on prioritizing important programs, while scrubbing the legis‰Û_ https://t.co/lsFsITIEC1",0.5267
Democrat,RepRoKhanna,The discrimination that Stacy Bailey faced because of her sexual orientation is unacceptable. We must push for LGBT‰Û_ https://t.co/7WjW4gIk9e,-0.4588
Democrat,RepAlLawsonJr,Great briefing this week w/the @OfficialCBC @FeedingAmerica @MarthasTableorg @FoodBank4NYC @toendhunger to discuss‰Û_ https://t.co/xEHb4VX2b2,0.6249
Republican,MarioDB,"Hace 57 aÌ±os, la #Brigada2506 empuÌ±Ì_ las armas con valentÌ_a para liberar al pueblo cubano de las garras de una dict‰Û_ https://t.co/tVN8RMrDgU",0
Republican,HouseCommerce,#SubHealth is now considering the discussion draft ‰ÛÏTo amend title XIX of the Social Security Act to provide for Me‰Û_ https://t.co/uWZ8ZsKWRP,0.34
Republican,FinancialCmte,RT @RepTomEmmer: Tune in to @FinancialCmte at 10:00am ET ‰ Ò https://t.co/rummi9ltkC,0
Republican,RulesReps,ICYMI: Yesterday Chairman @PeteSessions proudly supported @RepByrne's bill to #SaveLocalBiz.Read more here: https://t.co/uH2KSiIhxQ,0.7096
Democrat,RepKihuen,"RT @SBGC2C: .@RepKihuen: ""What we‰Ûªre seeing right now is the president has been dividing not only our country but the rest of the world‰Ûù @N‰Û_",0
Republican,NatResources,_ÙÒü picture perfect @CapitolReefNPS https://t.co/oa67yEwMWy,0.5719
Republican,RepFredUpton,"Awesome, and delicious, lunch today at @FinalGravityMI in Decatur! Another one of our stellar small businesses here‰Û_ https://t.co/T5lqRUeq1J",0.8439
Republican,RepSteveStivers,"With nearly $20 trillion in debt, it's time for a balanced budget amendment. Read more here: https://t.co/rNHLyY7iAS https://t.co/R8vppQJOCk",-0.3612
Democrat,RepTomSuozzi,It was great to meet with members of both the Nassau and Suffolk Fire Chiefs Councils today. These men and women re‰Û_ https://t.co/1oaMR2m8Fv,0.4019
Republican,RepGoodlatte,RT @HouseJudiciary: The Constitution Subcommittee will hold a hearing TOMORROW on class action lawsuits for those with intellectual disabil‰Û_,0.4019
Republican,RepMimiWalters,Breaking! #FOSTA + my #SESTA Amendment was signed into law! https://t.co/2U95wJ2ZVk,0
Democrat,RepBRochester,"‰ÛÏWe‰Ûªre children. You guys are the adults. You need to take some action and play a role.‰Ûù - @DavidHogg111, Marjory S‰Û_ https://t.co/EnISt0qGGq",0.34
Republican,RepKayGranger,‰ÛÏI applaud President Trump‰Ûªs decision to withdraw from the Joint Comprehensive Plan of Action (JCPOA). This was a t‰Û_ https://t.co/tmOI3HwQvy,0.6124
Democrat,RepPeteAguilar,Open Enrollment through @CoveredCA starts tomorrow! Visit https://t.co/2zKlxNoSIS to find a health plan that works‰Û_ https://t.co/3ntaCOaQAC,0
Democrat,DonaldNorcross,Thank you @GovMurphy &amp; Assemblywoman @PamLampitt1 for your strong leadership on historic #equalpay legislation!‰Û_ https://t.co/3wWNjlqGkj,0.7263
Democrat,RepMcEachin,"I am hosting this event, with support from my Education Task Force, to inform parents and caregivers about students‰Û_ https://t.co/3HYEiF8rnD",0.4019
Democrat,RepOHalleran,"I had a great weekend in Globe, Miami, and Superior! Thanks to the students, business owners, and community leaders‰Û_ https://t.co/0R19TcPqSm",0.8955
Republican,MarioDB,"In a few minutes, I‰Ûªll join @Varneyco on @FoxBusiness to highlight yesterday‰Ûªs #taxreform roundtable with @POTUS in‰Û_ https://t.co/R46QU8lbds",0.5574
Republican,Robert_Aderholt,Congrats to Huntsville's @Dynetics on winning a NASA contract for the Space Launch System. #makespacegreatagain,0.7783
