Party,Handle,Tweet,Sentiment
Democrat,RepDarrenSoto,"Today, Senate Dems vote to #SaveTheInternet. Proud to support similar #NetNeutrality legislation here in the Houseâ€_ https://t.co/n3tggDLU1L",0.7003
Democrat,RepDarrenSoto,RT @WinterHavenSun: Winter Haven resident / Alta Vista teacher is one of several recognized by @RepDarrenSoto for National Teacher Appreciaâ€_,0
Democrat,RepDarrenSoto,"RT @NBCLatino: .@RepDarrenSoto noted that Hurricane Maria has left approximately $90 billion in damages. Congress has allocated about $18â€_",-0.4404
Democrat,RepDarrenSoto,RT @NALCABPolicy: Meeting with @RepDarrenSoto . Thanks for taking the time to meet with @LatinoLeader ED Marucci Guzman. #NALCABPolicy2018.â€_,0.4404
Democrat,RepDarrenSoto,RT @Vegalteno: Hurricane season starts on June 1st; Puerto Ricoâ€™s readiness...well _Ÿ___Ÿè_â€çâ™‚ï¸è_Ÿ˜¡_Ÿ˜©@Pwr4PuertoRico @RepDarrenSoto @EspaillatNY,0
Democrat,RepDarrenSoto,RT @EmgageActionFL: Thank you to all who came out to our Orlando gala! It was a successful night that would not have been possible withoutâ€_,0.7644
Democrat,RepDarrenSoto,"Hurricane Maria left approx $90 billion in damages, yet only $1 billion was allocated for rebuilding grid. No surprâ€_ https://t.co/2kU8BcKwUh",-0.6249
Democrat,RepDarrenSoto,RT @Tharryry: I am delighted that @RepDarrenSoto will be voting for the CRA to overrule the FCC and save our #NetNeutrality rules. Find outâ€_,0.7579
Democrat,RepDarrenSoto,RT @HispanicCaucus: Trump's anti-immigrant policies are hurting small businesses across the country that canâ€™t find Americans willing to doâ€_,-0.4019
Democrat,RepDarrenSoto,RT @RepStephMurphy: Great joining @WeAreUnidosUS and @RepDarrenSoto for a roundtable in #Orlando on federal issues affecting central Floridâ€_,0.6249
Democrat,RepDarrenSoto,RT @AllSaints_FL: Zhihan (John)'s art received awards at this year's state competitions. We just found out he's won the Congressional Distrâ€_,0.7717
Democrat,RepDarrenSoto,.@realDonaldTrump official policy to separate immigrant children from their mothers is definition of crueltyâ€_ https://t.co/jCrURA4oLz,0
Democrat,RepDarrenSoto,Thank you to my mom Jean and all the mothers across this nation! You are raising our future. Have aâ€_ https://t.co/MXES0r31VH,0.4199
Democrat,RepDarrenSoto,"We paid our respects at Natâ€™l Law Enforcement Officers Memorial today for those we lost:Sgt Sam Howard - Kissimmeeâ€_ https://t.co/UzPxIVBMYW",0
Democrat,RepDarrenSoto,RT @WinterHavenSun: Congratulations to  @AHSbloodhounds senior Abygayle Rausch for starting her service to the country at the US Naval Acadâ€_,0.5994
Democrat,RepDarrenSoto,Meet 12 incredible young leaders appointed to US Military Academies from our District! @HispanicCaucusâ€_ https://t.co/lND3zgvJ55,0
Democrat,RepDarrenSoto,"RT @wildlifeaction: With 1/3 of US wildlife in decline, Florida species like the snowy plover need advocates! As co-sponsors for the Recoveâ€_",0.4199
Democrat,RepDarrenSoto,"RT @CHeathWFTV: Keeping guns out of the wrong hands: following @WFTV report, @RepDarrenSoto asks ATF to look into so-called ghost guns (firâ€_",-0.6597
Democrat,RepDarrenSoto,"RT @GermieNYC: TY, @RepDarrenSoto for calling for the #HFAnow to ensure workers have access to #paidsickdays no matter where they live or wâ€_",0.5904
Democrat,RepDarrenSoto,"Behind every successful student, there's a proud community of family &amp; teachers. Great to meet with @OCPSnews Avaloâ€_ https://t.co/u3irBAu4cE",0.9001
Democrat,RepDarrenSoto,RT @HeardontheHill: .@RepDarrenSoto recalled playing music at the Dems caucus retreat with @repjoecrowley https://t.co/pvPNZUixxA,0.3818
Democrat,RepDarrenSoto,RT @NathanHale7476: Got to meet @RepDarrenSoto today.  #classroomwhereithappens @MrBettsClass @AvalonElem_OCPS @Gilder_Lehrman @SenBillNelsâ€_,0
Democrat,RepDarrenSoto,RT @WinterHavenSun: Lead story in the Polk News Sun with @RepDarrenSoto and @SenBillNelson . In November voters will decide whether to autoâ€_,0
Democrat,RepDarrenSoto,#FACT: 24 percent of Americans said they didnâ€™t fill a prescription in the previous year because of the high cost.â€_ https://t.co/meU89Ikiqm,0
Democrat,RepDarrenSoto,Americans deserve #ABetterDeal on the cost of prescription drugs for our seniors â€” one that allows Medicare to negoâ€_ https://t.co/jDZ1dtM5O7,0
Democrat,RepDarrenSoto,Thank u @BillNye for being a voice for #Science &amp; our Planet! #Sayfie @HispanicCaucus @AudubonFL @SierraClubFLâ€_ https://t.co/veWX2e5f88,0.4199
Democrat,RepDarrenSoto,RT @RepRubenGallego: Public comment is a responsibility federal agencies have to the public when making critical land management decisionsâ€_,-0.3182
Democrat,RepDarrenSoto,"Sat down with @rollcall to discuss fellowship, getting things done in Congress, my band Orange Creek Riders &amp; hikinâ€_ https://t.co/h3tklr3Ud1",0
Democrat,RepDarrenSoto,RT @rvivian370: At the Pulse Memorial this morning representing @RepDarrenSoto. It was a beautiful ceremony honoring the victims and familiâ€_,0.7096
Democrat,RepDarrenSoto,Joined colleagues in opposition to Trump admin adding citizenship question to #2020Census. An accurate count is criâ€_ https://t.co/bVMg5XScLL,0
Democrat,RepDarrenSoto,RT @WFTV: .@RepDarrenSoto calls for regulatory reform of '#ghostguns' after #9Investigates' story https://t.co/jY814l1a6T #wftv https://t.câ€_,0
Democrat,RepDarrenSoto,"Thank you to millions of bright, hardworking teachers across America who are educating our next generation of leadeâ€_ https://t.co/3CGB8BpUel",0.6597
Democrat,RepDarrenSoto,RT @WeAreUnidosUS: Thank you @RepDarrenSoto for joining us today to discuss the devastating effects the proposed cuts to SNAP would have onâ€_,-0.6124
Democrat,RepDarrenSoto,RT @NAPABA: @RepDarrenSoto â€” the first Puerto Rican congressman from Florida â€” brings the â˜€ï¸è to @NAPABA's 2018 #APAHM Congressional Receptiâ€_,0
Democrat,RepDarrenSoto,RT @romancerookie: @RepDarrenSoto @SenBillNelson @marcorubio we need to do something about this. #Insulin4all https://t.co/PEfq45S6ax,0
Democrat,RepDarrenSoto,RT @WaelAlzayat: Thank you @RepDarrenSoto for being a good friend and an avid supporter of immigrant rights. #EmgagetheHill #EmgageAction hâ€_,0.8979
Democrat,RepDarrenSoto,RT @EmgageActionFL: @RepDarrenSoto addressing our team as we prepare to #Emgagethehill @emgageaction https://t.co/DFZxz2Uu3U,0
Democrat,RepDarrenSoto,RT @news6wkmg: .@RepDarrenSoto talks District 9 election with @JustinWarmoth on â€˜The Weeklyâ€™ See the full interview here: https://t.co/EI0Tâ€_,0
Democrat,RepDarrenSoto,"Trump continues anti-immigrant, anti-Hispanic push by ending #TPS for 57,000 #Hondurans - Real solution is pathwayâ€_ https://t.co/iUThlJYiNp",0.3182
Democrat,RepDarrenSoto,RT @YourBarrioFL: Thank you @Emerge_USA for hosting @repdarrensoto and myself at yourâ€_ https://t.co/PZniabtY8Q,0.3612
Democrat,RepDarrenSoto,RT @ricardorossello: TambiÃ©n me acompaÃ±Ã_ en la entrega de estos 62 tÃ_tulos de propiedad @TATACHARBONIER @Miguel_Romero_ @RepJorgeNavarro @Vâ€_,0
Democrat,RepDarrenSoto,RT @SenBillNelson: Got a firsthand look at the CaÃ±o MartÃ_n PeÃ±a Ecosystem Restoration Project in Puerto Rico today. This project is designeâ€_,0
Democrat,RepDarrenSoto,RT @garywhite13: Signed by @RepDennisRoss &amp; @RepDarrenSoto but not @TomRooney. https://t.co/AamLVVbey4,0
Democrat,RepDarrenSoto,"Itâ€™s with heavy heart that we mourn loss of Maria Santiago-Burgos, a Puerto Rican survivor of #HurricaneMaria  Thisâ€_ https://t.co/ecKAFlutxw",-0.3818
Democrat,RepDarrenSoto,"RT @garywhite13: @SenBillNelson, @RepDarrenSoto discuss restoration of voting rights for felons, census questions during town hall in Haineâ€_",0
Democrat,RepDarrenSoto,RT @SenBillNelson: Had a good discussion tonight in Haines City with @RepRichmond and @RepDarrenSoto about Amendment 4 on the November ballâ€_,0.4404
Democrat,RepDarrenSoto,RT @YourBarrioFL: At the #vamos4pr press conference and rally with @repdarrensoto celebratingâ€_ https://t.co/gIcpamt3Vg,0
Democrat,RepDarrenSoto,"RT @MikeWFerguson: I'm here in Haines City for a civil rights forum, which will touch on voting rights restoration for felons. Those speakiâ€_",0
Democrat,RepDarrenSoto,RT @tbhjr: @repdarrensoto I just wrote asking you to support growing @NASA's budget by 5% in 2019. Let's invest in our future by investingâ€_,0.5267
Democrat,RepDarrenSoto,RT @DemsEspanol: El congresista @RepDarrenSoto (FL-09) asistiÃ_ a la celebraciÃ_n del Festival y Desfile PuertorriqueÃ±o de Orlando #DemsAtWorâ€_,0.4939
