Id,Party,Handle,Tweet,Sentiment,Category
0,Democrat,RepDarrenSoto,Thanks to Sheriff Russell Gibson &amp; @OsceolaSheriff Office for hosting gun return event! That’s 39 unwanted guns off… https://t.co/HGZiQVjniH,-0.1759,GunControl
0,Democrat,RepDarrenSoto,Florida faced yet another dreadful school shooting in Ocala today. On a day students partake in… https://t.co/AMy9VkKP1h,-0.4404,GunControl
0,Democrat,RepDarrenSoto,"Intrigued to host @MikeBloomberg re gun safety, jobs &amp; bipartisanship in Washington today! @bpolitics @HouseNewDems… https://t.co/m67OeS3tWk",0.1759,GunControl
0,Democrat,RepDarrenSoto,Read about our passionate town hall on gun safety. Thanks to everyone who attended! @OsceolaNews @HouseNewDems… https://t.co/PktIaxPMGq,0.7901,GunControl
0,Democrat,RepDarrenSoto,RT @adrienneegolf: Thank you @RepDarrenSoto for holding a town hall today about gun safety and for inviting @MomsDemand to speak about comm…,0.6369,GunControl
0,Democrat,RepDarrenSoto,RT @YourBarrioFL: At our packed Gun Safety Town Hall in St. Cloud with @repdarrensoto. #MomsDemand #gunsense… https://t.co/fIf8R6n7Gj,0.1027,GunControl
0,Democrat,RepJackyRosen,ICE should focus its time &amp; resources on hardened criminals who threaten the safety of our communities &amp; stop teari… https://t.co/kxdBuCCHCf,-0.6908,Immigration
0,Democrat,RepAlLawsonJr,In proud of of our youth today who are rallying against gun violence.  You are that generation that Nelson Mandela… https://t.co/Q2a4tEGxvE,-0.5267,GunControl
0,Democrat,RepAlLawsonJr,Proud to stand with America’s students. Your voice is making a difference in the fight for action to prevent gun vi… https://t.co/en6cAxJfUS,-0.2023,GunControl
0,Democrat,RepAlLawsonJr,It shouldn’t take another 17 deaths for Congress to finally take action to prevent gun violence. I’m calling on… https://t.co/uQ6zoQE7EB,-0.7506,GunControl
0,Democrat,RepAlLawsonJr,Last week’s tragedy in #Parkland was the second-deadliest shooting at a public school in U.S. history… https://t.co/sPuw2ouQh1,-0.6597,GunControl
0,Democrat,RepEspaillat,"Seeking asylum is not illegal, in fact, it is written into US immigration laws to ensure that those w/a credible fe… https://t.co/DEExlsiSat",0.673,Immigration
0,Democrat,RepEspaillat,"I am proud to stand in solidarity with #PuertoRico students, teachers and parents. #BastaYa enough with the… https://t.co/EjOzhEcIqN",0.6486,Incarceration
0,Democrat,RepEspaillat,Expanding the definition of “public charge” to discriminate &amp; hurt immigrant families runs counter to American idea… https://t.co/zwUB5qYquV,-0.5267,Immigration
0,Democrat,RepEspaillat,"If Trump’s changes to the “public charge” rule are enacted, parents will be forced to choose between citizenship &amp;… https://t.co/340oZHxYR4",-0.4588,Immigration
0,Democrat,RepEspaillat,Expanding the definition of “public charge” to discriminate &amp; hurt immigrant families runs counter to American idea… https://t.co/bP2hhf4q0W,-0.5267,Immigration
0,Democrat,RepBRochester,"Delaware's students are taking a stand against gun violence by walking out and saying, ""enough is enough.""… https://t.co/nDuQ9VPRkp",-0.7579,GunControl
0,Democrat,RepBRochester,We need to do right by our students and our neighborhoods by preventing the next shooting that takes anyone’s life. #HonorWithAction,-0.0258,GunControl
0,Democrat,RepBarragan,"ICE needs to be held accountable for miscarriages of justice. We should not become a detention nation, putting the… https://t.co/gceAJiph3e",0.6715,Immigration
0,Democrat,RepTomSuozzi,Assad's use of chemical weapons against his own people is reprehensible and I support the administration’s decision… https://t.co/moTevMkS04,-0.0516,GunControl
0,Democrat,RepTomSuozzi,.@RepPeteKing and I are committed to working with local high school students on gun violence prevention. https://t.co/laIPhOGAvf,-0.6597,GunControl
0,Democrat,RepTomSuozzi,"I think we should engage the high school students of #NY03,  and all of Long Island, to promote gun violence preven… https://t.co/mIpm09XeQh",-0.3612,GunControl
0,Democrat,RepTomSuozzi,"It's hard to imagine how the President, and the Republicans who are in control of the Senate and the House, cannot… https://t.co/3bz7ssyjuM",-0.1027,GunControl
0,Democrat,RepRoKhanna,Enough is enough. We need common sense gun safety NOW. https://t.co/RvV8X8kbXJ,0.1027,GunControl
0,Democrat,RepRoKhanna,South Carolina’s Senate vote to ban abortion is blatantly unconstitutional. Republican lawmakers in the state are a… https://t.co/sxPgn2QBNc,-0.5574,Abortion
0,Democrat,RepRoKhanna,Thank you to Sunnyvale Presbyterian Church for hosting an important discussion on gun violence with community leade… https://t.co/K7nyn5URfd,-0.4939,GunControl
0,Democrat,RepKihuen,Had a substantive discussion today with @UNLV students regarding the gun violence epidemic in our country. I’m prou… https://t.co/EkRQuXMxXx,-0.7579,GunControl
0,Democrat,RepKihuen,RT @LIT_LV: Founder/ED shared story of LIT students/families to NV delegation today in US Senate/House of Reps &amp; how immigration policy imp…,0.34,Immigration
0,Democrat,RepMcEachin,∙ @EPAScottPruitt’s constant assault on science-based research and efforts to protect children’s health is beyond worrisome.,-0.5994,GunControl
0,Democrat,RepCarbajal,Parents &amp; teachers know the best way to keep our kids safe from gun violence is restricting individuals in crisis f… https://t.co/QbyZ7703l0,-0.7269,GunControl
0,Democrat,RepCarbajal,Ohio became the latest state to embrace gun violence prevention orders last week. I'm grateful for the continued bi… https://t.co/euwYEtOfN3,-0.296,GunControl
0,Democrat,RepCarbajal,Adding a citizenship question to the #2020Census would only decrease participation &amp; waste millions of dollars. We… https://t.co/GYOlktl8NJ,-0.4215,Immigration
0,Democrat,RepCarbajal,I'm standing with @davidhogg111 &amp; those marching on the Central Coast demanding action on gun violence. Congress mu… https://t.co/OOggrj35mk,-0.8126,GunControl
0,Democrat,RepCarbajal,"Gun violence restraining orders work in CA, temporarily keeping guns out of the hands of individuals in crisis. In… https://t.co/3NxwR6OMHe",-0.891,GunControl
0,Democrat,RepCarbajal,"Today, two different schools on the Central Coast faced lockdowns due to a shooting threat, thankfully everyone is… https://t.co/KTBYUdbqj1",-0.1531,GunControl
0,Democrat,RepCarbajal,"RT @KSBY: Safe &amp; Secure: ""I like that,"" says President Trump on local congressman's gun reform bill. @CorralCarina reports:
https://t.co/mQ…",0.6597,GunControl
0,Democrat,RepCarbajal,"RT @RepEsty: Last week at the @WhiteHouse, @realDonaldTrump &amp; @VP told me that they support gun violence restraining orders.

#GVROs work.…",-0.5859,GunControl
0,Democrat,RepJayapal,"RT @MigrantFreedom: ""The countless number of horrific assaults, senseless abuses and needless deaths of immigrants in detention prove that…",-0.9287,Incarceration
0,Democrat,RepJayapal,"RT @alangomez: As @realDonaldTrump admin tries to increase incarceration of undocumented immigrants, Democrats @KamalaHarris + @RepJayapal…",0.3182,Immigration
0,Democrat,RepJayapal,RT @Shugruberg: Love that South Asian women are leading the fight against mass incarceration and abuse in immigration detention! Thank you…,-0.4389,Immigration
0,Democrat,RepJayapal,RT @MigrantFreedom: A key step toward ending immigration detention is to stop it from expanding. This proposed measure would do just that.…,-0.5719,Immigration
0,Democrat,RepJayapal,RT @wrcommission: Immigrant mothers simply seek a better life for their children. We must stop inhumane family separation NOW. #MothersDay…,0.1779,Immigration
0,Democrat,RepJayapal,First Indian-American congresswoman shares response to caller questioning her citizenship https://t.co/8ZVAld4eYG,0.2023,Immigration
0,Democrat,RepJayapal,RT @cspanwj: Rep. Pramila Jayapal (D-WA) joins us to discuss immigration &amp; for an update on Special Counsel Robert Mueller's investigation…,0.4019,Immigration
0,Democrat,RepJayapal,"RT @DaviSusan: There is an extraordinary thing happening to the nation's legal immigrant communities under the Trump administration: 50,000…",0.128,Immigration
0,Democrat,RepJayapal,RT if you think prioritizing gun industry profits over public safety - our safety - is just about the farthest thin… https://t.co/nU5hmnA8t6,0.7269,GunControl
0,Democrat,RepJayapal,RT @RepBarbaraLee: Many families seeking asylum are fleeing unimaginable violence &amp; terror. Tearing these children from their parents isn’t…,-0.8176,Immigration
0,Democrat,RepJoshG,Iran has violated international law by testing long-range ballistic missiles and transferring weapons to terrorist… https://t.co/IP5KAlfQTh,-0.743,GunControl
0,Democrat,CongressmanRaja,"RT @RepAnthonyBrown: States &amp; private companies are leading the way on gun reform while Republicans either stonewall or retire. 

Members l…",-0.34,GunControl
0,Democrat,CongressmanRaja,RT @RepRoKhanna: We can't let up the pressure on sensible gun violence until we get real change. Let's pass @RepCicilline's assault weapon…,-0.91,GunControl
0,Democrat,CongressmanRaja,Please keep everyone affected by the shooting in San Bruno in your thoughts and prayers as we gather the facts and… https://t.co/ox41IBOO2m,0.1779,GunControl
